smiles,Mol,QED,logP,SA,PAINS,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,litegov_score
Cc1cccc(CNC(=O)N2CCN(c3ccccc3)CC2)c1,,0.945755400488982,3.0268200000000016,1.703908314879687,0.0,O=C(NCc1ccccc1)N1CCN(c2ccccc2)CC1,1.703908314879687,Cc1cccc(CNC(=O)N2CCN(c3ccccc3)CC2)c1,0.945755400488982,309.41300000000007,3.0268200000000016,35.580000000000005,2.0,1.0,3.0,23.0,2.0,0.3157894736842105,O=C(NCc1ccccc1)N1CCN(c2ccccc2)CC1,0,True,1.703908314879687,0.9713491170608216
Cc1ccccc1C(=O)N1CC(NC(=O)c2ccccc2)C1,,0.9436312385650082,2.2494200000000006,1.7005156648790667,0.0,O=C(NC1CN(C(=O)c2ccccc2)C1)c1ccccc1,1.7005156648790667,Cc1ccccc1C(=O)N1CC(NC(=O)c2ccccc2)C1,0.9436312385650082,294.35400000000004,2.2494200000000006,49.41,2.0,1.0,3.0,22.0,2.0,0.2222222222222222,O=C(NC1CN(C(=O)c2ccccc2)C1)c1ccccc1,0,True,1.7005156648790667,0.9690442632467735
COc1ccc(C(=O)Nc2ccc(F)c(F)c2)cc1F,,0.936397083820582,3.3648000000000016,1.6317261450417888,0.0,O=C(Nc1ccccc1)c1ccccc1,1.6317261450417888,COc1ccc(C(=O)Nc2ccc(F)c(F)c2)cc1F,0.936397083820582,281.233,3.3648000000000016,38.33,2.0,1.0,3.0,20.0,2.0,0.0714285714285714,O=C(Nc1ccccc1)c1ccccc1,0,True,1.6317261450417888,0.9633434619664623
Cc1ccc(CNC(=O)Cc2ccc(Br)cc2)cn1,,0.9411558548909352,3.011420000000001,1.7803720204475957,0.0,O=C(Cc1ccccc1)NCc1cccnc1,1.7803720204475957,Cc1ccc(CNC(=O)Cc2ccc(Br)cc2)cn1,0.9411558548909352,319.20200000000006,3.011420000000001,41.99,2.0,1.0,4.0,19.0,2.0,0.2,O=C(Cc1ccccc1)NCc1cccnc1,0,True,1.7803720204475957,0.9632119201447138
Cc1ccccc1C(=O)Nc1ccc(N2CCCC2)nc1,,0.9390404835375924,3.2425200000000016,1.7509608965986274,0.0,O=C(Nc1ccc(N2CCCC2)nc1)c1ccccc1,1.7509608965986274,Cc1ccccc1C(=O)Nc1ccc(N2CCCC2)nc1,0.9390404835375924,281.3589999999999,3.2425200000000016,45.23,3.0,1.0,3.0,21.0,2.0,0.2941176470588235,O=C(Nc1ccc(N2CCCC2)nc1)c1ccccc1,0,True,1.7509608965986274,0.9618939164001402
Cc1ccc(CNC(=O)N2CCN(c3ccccc3)CC2)s1,,0.9445668157014744,3.0883200000000013,1.941951482186756,0.0,O=C(NCc1cccs1)N1CCN(c2ccccc2)CC1,1.941951482186756,Cc1ccc(CNC(=O)N2CCN(c3ccccc3)CC2)s1,0.9445668157014744,315.44200000000006,3.0883200000000013,35.580000000000005,3.0,1.0,3.0,22.0,2.0,0.3529411764705882,O=C(NCc1cccs1)N1CCN(c2ccccc2)CC1,0,True,1.941951482186756,0.9610515483291855
Cc1ccc(CNC(=O)N2CCN(c3ccccc3)CC2)c(C)c1,,0.9402078376485192,3.3352400000000024,1.8141197605117565,0.0,O=C(NCc1ccccc1)N1CCN(c2ccccc2)CC1,1.8141197605117565,Cc1ccc(CNC(=O)N2CCN(c3ccccc3)CC2)c(C)c1,0.9402078376485192,323.4400000000001,3.3352400000000024,35.580000000000005,2.0,1.0,3.0,24.0,2.0,0.35,O=C(NCc1ccccc1)N1CCN(c2ccccc2)CC1,0,True,1.8141197605117565,0.9608594593039882
CCOc1ccccc1NC(=O)N1CCN(c2ccccc2)CC1,,0.9364046681736752,3.4394000000000027,1.7129114853087,0.0,O=C(Nc1ccccc1)N1CCN(c2ccccc2)CC1,1.7129114853087,CCOc1ccccc1NC(=O)N1CCN(c2ccccc2)CC1,0.9364046681736752,325.41200000000003,3.4394000000000027,44.81,3.0,1.0,4.0,24.0,2.0,0.3157894736842105,O=C(Nc1ccccc1)N1CCN(c2ccccc2)CC1,0,True,1.7129114853087,0.9603042890346988
Cc1ccc(C(=O)NC2CCN(c3ccccc3)CC2)s1,,0.9412989802319616,3.455320000000002,1.905542989915146,0.0,O=C(NC1CCN(c2ccccc2)CC1)c1cccs1,1.905542989915146,Cc1ccc(C(=O)NC2CCN(c3ccccc3)CC2)s1,0.9412989802319616,300.427,3.455320000000002,32.34,3.0,1.0,3.0,21.0,2.0,0.3529411764705882,O=C(NC1CCN(c2ccccc2)CC1)c1cccs1,0,True,1.905542989915146,0.9586766382063165
Cc1cccc(CNS(=O)(=O)c2cccc(C)c2)c1,,0.9322941154772892,2.7819400000000014,1.6737720204475934,0.0,O=S(=O)(NCc1ccccc1)c1ccccc1,1.6737720204475934,Cc1cccc(CNS(=O)(=O)c2cccc(C)c2)c1,0.9322941154772892,275.373,2.7819400000000014,46.17,2.0,1.0,4.0,19.0,2.0,0.2,O=S(=O)(NCc1ccccc1)c1ccccc1,0,True,1.6737720204475934,0.9570669718815421
