Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,lite_score,method
CN1CCN(C2=CC=C(C(=O)NC3=CC=C(Cl)C=C3)C=C2)CC1,0.9377242433785756,3.344100000000002,1.6302013114353713,O=C(Nc1ccccc1)c1ccc(N2CCNCC2)cc1,1.6302013114353713,CN1CCN(c2ccc(C(=O)Nc3ccc(Cl)cc3)cc2)CC1,0.9377242433785756,329.8310000000001,3.344100000000002,35.58,3,1,3,23,2,0.2777777777777778,O=C(Nc1ccccc1)c1ccc(N2CCNCC2)cc1,0,True,1.6302013114353713,0.981068503546179,lite
CC1=CC=C(NC(=O)N2CCN(CC3=CC=CS3)CC2)C=C1,0.9419755777142303,3.406220000000002,1.8378457129559875,O=C(Nc1ccccc1)N1CCN(Cc2cccs2)CC1,1.8378457129559875,Cc1ccc(NC(=O)N2CCN(Cc3cccs3)CC2)cc1,0.9419755777142303,315.44200000000006,3.406220000000002,35.580000000000005,3,1,3,22,2,0.3529411764705882,O=C(Nc1ccccc1)N1CCN(Cc2cccs2)CC1,0,True,1.8378457129559875,0.9772449206649879,lite
COC1=CC=C(C2=NN=C(C3CCCCC3)O2)C=C1O,0.927298019330177,3.498500000000003,2.17051844791133,c1ccc(-c2nnc(C3CCCCC3)o2)cc1,2.17051844791133,COc1ccc(-c2nnc(C3CCCCC3)o2)cc1O,0.927298019330177,274.31999999999994,3.498500000000003,68.38000000000001,5,1,3,20,2,0.4666666666666667,c1ccc(-c2nnc(C3CCCCC3)o2)cc1,0,True,2.17051844791133,0.952284042288584,lite
CC1=CN(CC2=CC=C(Br)C=C2)C(=O)NC1=O,0.9157225683840516,1.6558199999999996,1.973513717683435,O=c1ccn(Cc2ccccc2)c(=O)[nH]1,1.973513717683435,Cc1cn(Cc2ccc(Br)cc2)c(=O)[nH]c1=O,0.9157225683840516,295.136,1.6558199999999996,54.86,3,1,2,17,2,0.1666666666666666,O=c1ccn(Cc2ccccc2)c(=O)[nH]1,0,True,1.973513717683435,0.9493011349475811,lite
O=C(COC1=CC=CC=C1)NC(=O)C1CCCCC1,0.9043434966601346,2.2885,1.71153677569235,O=C(COc1ccccc1)NC(=O)C1CCCCC1,1.71153677569235,O=C(COc1ccccc1)NC(=O)C1CCCCC1,0.9043434966601346,261.321,2.2885,55.4,3,1,4,19,1,0.4666666666666667,O=C(COc1ccccc1)NC(=O)C1CCCCC1,0,True,1.71153677569235,0.9488527303443234,lite
CC(C)CN1CCC(C(=O)NC2=NC3=CC(Cl)=CC=C3N2C)CC1,0.9190650508428732,3.5332000000000017,2.22142568573514,O=C(Nc1nc2ccccc2[nH]1)C1CCNCC1,2.22142568573514,CC(C)CN1CCC(C(=O)Nc2nc3cc(Cl)ccc3n2C)CC1,0.9190650508428732,348.87800000000016,3.5332000000000017,50.16,4,1,4,24,2,0.5555555555555556,O=C(Nc1nc2ccccc2[nH]1)C1CCNCC1,0,True,2.22142568573514,0.9432168179644456,lite
CCS(=O)(=O)C=CC1=NC2=CC=C(Cl)C=C2C(=O)N1,0.9393791123589804,1.9819,2.778165215713866,O=c1[nH]cnc2ccccc12,2.778165215713866,CCS(=O)(=O)C=Cc1nc2ccc(Cl)cc2c(=O)[nH]1,0.9393791123589804,298.75100000000003,1.9819,79.88999999999999,4,1,3,19,2,0.1666666666666666,O=c1[nH]cnc2ccccc12,0,True,2.778165215713866,0.9407792952569876,lite
COC1=CC(Cl)=CC=C1OC1=CC(O)=CC=C1C(=O)O,0.9016542190900132,3.544700000000001,1.896975655531298,c1ccc(Oc2ccccc2)cc1,1.896975655531298,COc1cc(Cl)ccc1Oc1cc(O)ccc1C(=O)O,0.9016542190900132,294.69000000000005,3.544700000000001,75.99,4,2,4,20,2,0.0714285714285714,c1ccc(Oc2ccccc2)cc1,0,True,1.896975655531298,0.9397530454054952,lite
COC1=CC2=C(C=C1OC)C(CN(C)C)C1=CC=C(O)C=C1O2,0.938702786320192,3.2086000000000023,2.887925776585499,c1ccc2c(c1)Cc1ccccc1O2,2.887925776585499,COc1cc2c(cc1OC)C(CN(C)C)c1ccc(O)cc1O2,0.938702786320192,315.369,3.2086000000000023,51.16000000000001,5,1,4,23,2,0.3333333333333333,c1ccc2c(c1)Cc1ccccc1O2,0,True,2.887925776585499,0.9361956217474097,lite
FC(F)(F)OC1=CC=C(C2CN(CC3=CC=CO3)CCN2)C=C1,0.9351922141707654,3.324700000000001,2.8121232634736124,c1ccc(C2CN(Cc3ccco3)CCN2)cc1,2.8121232634736124,FC(F)(F)Oc1ccc(C2CN(Cc3ccco3)CCN2)cc1,0.9351922141707654,326.3180000000001,3.324700000000001,37.64,4,1,4,23,2,0.375,c1ccc(C2CN(Cc3ccco3)CCN2)cc1,0,True,2.8121232634736124,0.935874745696152,lite
