Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,heavy_score,method
N#CC1=CC=C(NC(=O)COC2=CC=CC=C2)C=C1,0.9092012616552652,2.575780000000001,1.52827663583221,O=C(COc1ccccc1)Nc1ccccc1,1.52827663583221,N#Cc1ccc(NC(=O)COc2ccccc2)cc1,0.9092012616552652,252.273,2.575780000000001,62.120000000000005,3,1,4,19,2,0.0666666666666666,O=C(COc1ccccc1)Nc1ccccc1,0,True,1.52827663583221,-0.9069653741769452,heavy
CN(C)C(=O)CCC1=CC=CC=C1,0.6879097829944271,1.7073999999999998,1.4693897500088262,c1ccccc1,1.4693897500088262,CN(C)C(=O)CCc1ccccc1,0.6879097829944271,177.247,1.7073999999999998,20.31,1,0,3,13,1,0.3636363636363636,c1ccccc1,0,True,1.4693897500088262,-0.9277799670143992,heavy
O=C(COC1=CC=CC=C1)NS(=O)(=O)C1=CC=CC=C1,0.9072949237416288,1.5705000000000002,1.6242931233266624,O=C(COc1ccccc1)NS(=O)(=O)c1ccccc1,1.6242931233266624,O=C(COc1ccccc1)NS(=O)(=O)c1ccccc1,0.9072949237416288,291.328,1.5705000000000002,72.47,4,1,5,20,2,0.0714285714285714,O=C(COc1ccccc1)NS(=O)(=O)c1ccccc1,0,True,1.6242931233266624,-0.9317481995850335,heavy
COC1=CC=C(NC(=O)CN(C)S(=O)(=O)C2=CC=C(OC)C=C2)C=C1,0.8118013558476714,1.963,1.7313468883505545,O=C(CNS(=O)(=O)c1ccccc1)Nc1ccccc1,1.7313468883505545,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2ccc(OC)cc2)cc1,0.8118013558476714,364.42300000000006,1.963,84.94000000000001,5,1,7,25,2,0.2352941176470588,O=C(CNS(=O)(=O)c1ccccc1)Nc1ccccc1,0,True,1.7313468883505545,-0.938045532502883,heavy
COC1=CC=C(COC2=CC=C(C(=O)O)C=C2)C=C1,0.8953437769662882,2.9724000000000013,1.3924002255757983,c1ccc(COc2ccccc2)cc1,1.3924002255757983,COc1ccc(COc2ccc(C(=O)O)cc2)cc1,0.8953437769662882,258.273,2.9724000000000013,55.760000000000005,3,1,5,19,2,0.1333333333333333,c1ccc(COc2ccccc2)cc1,0,True,1.3924002255757983,-0.9832564486095108,heavy
CC1=NC=CC(C(=O)NCC2=CC=C(F)C=C2)=N1,0.8974630663726558,1.85412,1.865397326444402,O=C(NCc1ccccc1)c1ccncn1,1.865397326444402,Cc1nccc(C(=O)NCc2ccc(F)cc2)n1,0.8974630663726558,245.257,1.85412,54.88,3,1,3,18,2,0.1538461538461538,O=C(NCc1ccccc1)c1ccncn1,0,True,1.865397326444402,-1.040874260071746,heavy
O=C(CNC1=CC=CC=C1)NNCC1=CC=CC=C1,0.6912111065220347,1.9194999999999995,1.7535703720959468,O=C(CNc1ccccc1)NNCc1ccccc1,1.7535703720959468,O=C(CNc1ccccc1)NNCc1ccccc1,0.6912111065220347,255.32100000000003,1.9194999999999995,53.16,3,3,6,19,2,0.1333333333333333,O=C(CNc1ccccc1)NNCc1ccccc1,0,True,1.7535703720959468,-1.1026092655739124,heavy
CCCC(=O)CCCC1=CC=C(S(N)(=O)=O)C=C1,0.8223124807886065,2.0259,1.915385598676373,c1ccccc1,1.915385598676373,CCCC(=O)CCCc1ccc(S(N)(=O)=O)cc1,0.8223124807886065,269.366,2.0259,77.23,3,1,7,18,1,0.4615384615384615,c1ccccc1,0,True,1.915385598676373,-1.1060231178877666,heavy
CCN(CC)CCOC1=CC=C(OC)C(C(=O)O)=C1,0.781435627652853,2.114,1.8710078192641628,c1ccccc1,1.8710078192641628,CCN(CC)CCOc1ccc(OC)c(C(=O)O)c1,0.781435627652853,267.325,2.114,59.0,4,1,8,19,1,0.5,c1ccccc1,0,True,1.8710078192641628,-1.1465721916113099,heavy
COC1=CC=C(CC(=O)C2=CC=C(OCC(=O)O)C=C2)C=C1,0.795624618578888,2.5840000000000005,1.6520317939113234,O=C(Cc1ccccc1)c1ccccc1,1.6520317939113234,COc1ccc(CC(=O)c2ccc(OCC(=O)O)cc2)cc1,0.795624618578888,300.31,2.5840000000000005,72.83,4,1,7,22,2,0.1764705882352941,O=C(Cc1ccccc1)c1ccccc1,0,True,1.6520317939113234,-1.1484071753324356,heavy
