Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,heavy_score,method
COC1=CC=C(CN2CCN(C3=CC=NC(N)=C3)CC2)C=C1,0.9353552923555816,1.9946,1.9183567706482965,c1ccc(CN2CCN(c3ccncc3)CC2)cc1,1.9183567706482965,COc1ccc(CN2CCN(c3ccnc(N)c3)CC2)cc1,0.9353552923555816,298.3900000000001,1.9946,54.620000000000005,5,1,4,22,2,0.3529411764705882,c1ccc(CN2CCN(c3ccncc3)CC2)cc1,0,True,1.9183567706482965,-0.9857014782927149,heavy
CC(=O)NCC1=CC=C(C(=O)C2=CC=CN=C2C)C=C1,0.865197597205412,2.2571200000000005,1.8529383228639664,O=C(c1ccccc1)c1cccnc1,1.8529383228639664,CC(=O)NCc1ccc(C(=O)c2cccnc2C)cc1,0.865197597205412,268.316,2.2571200000000005,59.06,3,1,4,20,2,0.1875,O=C(c1ccccc1)c1cccnc1,0,True,1.8529383228639664,-1.1163007256585546,heavy
CCOC(=O)CCC(=O)C1=CC=C(O)C=C1,0.6102714975797133,1.9182,1.6990121117119674,c1ccccc1,1.6990121117119674,CCOC(=O)CCC(=O)c1ccc(O)cc1,0.6102714975797133,222.24,1.9182,63.60000000000001,4,1,5,16,1,0.3333333333333333,c1ccccc1,0,True,1.6990121117119674,-1.1296406141322541,heavy
O=C(NCCC1=CC=CC=C1)NCC(=O)N1CCCCC1,0.8635230755125664,1.5407999999999995,1.7670020063085872,O=C(NCCc1ccccc1)NCC(=O)N1CCCCC1,1.7670020063085872,O=C(NCCc1ccccc1)NCC(=O)N1CCCCC1,0.8635230755125664,289.3790000000001,1.5407999999999995,61.440000000000005,2,2,5,21,1,0.5,O=C(NCCc1ccccc1)NCC(=O)N1CCCCC1,0,True,1.7670020063085872,-1.133078930796021,heavy
CN(C)C(=O)C1=CC=C(OCCS(=O)(=O)C2=CC=CC=C2)C=C1,0.8131758059332783,2.2411000000000003,1.825972946050756,O=S(=O)(CCOc1ccccc1)c1ccccc1,1.825972946050756,CN(C)C(=O)c1ccc(OCCS(=O)(=O)c2ccccc2)cc1,0.8131758059332783,333.40899999999993,2.2411000000000003,63.68,4,0,6,23,2,0.2352941176470588,O=S(=O)(CCOc1ccccc1)c1ccccc1,0,True,1.825972946050756,-1.133347140117478,heavy
CC1=CC=C(OC(F)F)C=C1,0.642340445571191,2.59642,1.5399772593741543,c1ccccc1,1.5399772593741543,Cc1ccc(OC(F)F)cc1,0.642340445571191,158.14700000000002,2.59642,9.23,1,0,2,11,1,0.25,c1ccccc1,0,True,1.5399772593741543,-1.1958468138029634,heavy
O=C(O)CCCC(=O)N1CCC(C2=CC=CC=C2)CC1,0.8983916858961215,2.647500000000001,1.8060712609784824,c1ccc(C2CCNCC2)cc1,1.8060712609784824,O=C(O)CCCC(=O)N1CCC(c2ccccc2)CC1,0.8983916858961215,275.34800000000007,2.647500000000001,57.61,2,1,5,20,1,0.5,c1ccc(C2CCNCC2)cc1,0,True,1.8060712609784824,-1.2314295750823612,heavy
O=C(COCC1=CC=CC=C1)NCC1=CC=C(Cl)C=C1,0.886892576015488,3.173000000000002,1.5561168563993952,O=C(COCc1ccccc1)NCc1ccccc1,1.5561168563993952,O=C(COCc1ccccc1)NCc1ccc(Cl)cc1,0.886892576015488,289.762,3.173000000000002,38.33,2,1,6,20,2,0.1875,O=C(COCc1ccccc1)NCc1ccccc1,0,True,1.5561168563993952,-1.2557242803839082,heavy
CN(CC1=CC=CC=C1)C(=O)CN1CCN(C2=CC=C(F)C=C2)CC1,0.8363936173188452,2.606300000000001,1.793974313099719,O=C(CN1CCN(c2ccccc2)CC1)NCc1ccccc1,1.793974313099719,CN(Cc1ccccc1)C(=O)CN1CCN(c2ccc(F)cc2)CC1,0.8363936173188452,341.43,2.606300000000001,26.790000000000006,3,0,5,25,2,0.35,O=C(CN1CCN(c2ccccc2)CC1)NCc1ccccc1,0,True,1.793974313099719,-1.2607306957808744,heavy
CCCCCC(=O)N1CCN(C(=O)C2=CC=C(F)C=C2)CC1,0.784823518012518,2.690400000000001,1.70478564006517,O=C(c1ccccc1)N1CCNCC1,1.70478564006517,CCCCCC(=O)N1CCN(C(=O)c2ccc(F)cc2)CC1,0.784823518012518,306.3810000000001,2.690400000000001,40.620000000000005,2,0,5,22,1,0.5294117647058824,O=C(c1ccccc1)N1CCNCC1,0,True,1.70478564006517,-1.2651621220526523,heavy
