Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,heavy_score,method
COC1=CC=C(C)C=C1,0.5532379862472909,2.00362,1.0099726226101744,c1ccccc1,1.0099726226101744,COc1ccc(C)cc1,0.5532379862472909,122.16699999999996,2.00362,9.23,1,0,1,9,1,0.25,c1ccccc1,0,True,1.0099726226101744,-0.45854463636288356,heavy
CC(C)C(=O)NC(=O)NC1=CC=CC=C1,0.7769999520119781,1.9907,1.5786374340009155,c1ccccc1,1.5786374340009155,CC(C)C(=O)NC(=O)Nc1ccccc1,0.7769999520119781,206.245,1.9907,58.2,2,2,2,15,1,0.2727272727272727,c1ccccc1,0,True,1.5786374340009155,-0.8062874819889374,heavy
O=C(CCC(=O)N1CCSCC1)NC1=CC=CC=C1,0.9159404259158282,1.9807,1.8923549575105305,O=C(CCC(=O)N1CCSCC1)Nc1ccccc1,1.8923549575105305,O=C(CCC(=O)N1CCSCC1)Nc1ccccc1,0.9159404259158282,278.377,1.9807,49.41,3,1,4,19,1,0.4285714285714285,O=C(CCC(=O)N1CCSCC1)Nc1ccccc1,0,True,1.8923549575105305,-0.9860645315947023,heavy
FC1=CC=C(N2CCN(C3=NC=CC=N3)CC2)C=C1,0.8237730478837928,1.9423,1.8135786138541867,c1ccc(N2CCN(c3ncccn3)CC2)cc1,1.8135786138541867,Fc1ccc(N2CCN(c3ncccn3)CC2)cc1,0.8237730478837928,258.3,1.9423,32.260000000000005,4,0,2,19,2,0.2857142857142857,c1ccc(N2CCN(c3ncccn3)CC2)cc1,0,True,1.8135786138541867,-1.018655565970394,heavy
COCCNCC1=CC=C(C(=O)NC2=CC=CC=N2)C=C1,0.7644739773430008,2.0699,1.774739963433431,O=C(Nc1ccccn1)c1ccccc1,1.774739963433431,COCCNCc1ccc(C(=O)Nc2ccccn2)cc1,0.7644739773430008,285.347,2.0699,63.25,4,2,7,21,2,0.25,O=C(Nc1ccccn1)c1ccccc1,0,True,1.774739963433431,-1.0452159860904302,heavy
CC(C)(C)OC(=O)NCC1=CC=CC=N1,0.8093657398760814,2.1063,1.8357807735881568,c1ccncc1,1.8357807735881568,CC(C)(C)OC(=O)NCc1ccccn1,0.8093657398760814,208.261,2.1063,51.22,3,1,2,15,1,0.4545454545454545,c1ccncc1,0,True,1.8357807735881568,-1.0795650337120755,heavy
NC(=O)C1=CC(F)=CC=C1OCC1=CC=C(F)C=N1,0.9185089284267324,2.0377,2.030297419576767,c1ccc(OCc2ccccn2)cc1,2.030297419576767,NC(=O)c1cc(F)ccc1OCc1ccc(F)cn1,0.9185089284267324,264.23099999999994,2.0377,65.21000000000001,3,1,4,19,2,0.0769230769230769,c1ccc(OCc2ccccn2)cc1,0,True,2.030297419576767,-1.1306384911500347,heavy
COC(=O)C1=CC=C(C2=CC=C(NC(C)=O)C=C2)C=C1,0.8710016373682707,3.098600000000001,1.4728416195672622,c1ccc(-c2ccccc2)cc1,1.4728416195672622,COC(=O)c1ccc(-c2ccc(NC(C)=O)cc2)cc1,0.8710016373682707,269.3,3.098600000000001,55.4,3,1,3,20,2,0.125,c1ccc(-c2ccccc2)cc1,0,True,1.4728416195672622,-1.151139982198992,heavy
CCOC(=O)C=CC1=CC=CC=C1,0.5212885510191556,2.2629,1.584938294707371,c1ccccc1,1.584938294707371,CCOC(=O)C=Cc1ccccc1,0.5212885510191556,176.215,2.2629,26.3,2,0,3,13,1,0.1818181818181818,c1ccccc1,0,True,1.584938294707371,-1.1950997436882154,heavy
C=CC1=CC=CC=C1,0.5126059376700752,2.3296,1.5527732132580638,c1ccccc1,1.5527732132580638,C=Cc1ccccc1,0.5126059376700752,104.15199999999996,2.3296,0.0,0,0,1,8,1,0.0,c1ccccc1,0,True,1.5527732132580638,-1.2049672755879888,heavy
O=C(COC1=CC=NC=C1)NCC1=CC=C(Cl)N=C1,0.8470202668259661,1.8252,1.9810962162517889,O=C(COc1ccncc1)NCc1cccnc1,1.9810962162517889,O=C(COc1ccncc1)NCc1ccc(Cl)nc1,0.8470202668259661,277.711,1.8252,64.11,4,1,5,19,2,0.1538461538461538,O=C(COc1ccncc1)NCc1cccnc1,0,True,1.9810962162517889,-1.2214759494258227,heavy
CNC(=O)OC1=CC=CC=C1,0.6584875447006162,1.4048,1.5866172097463611,c1ccccc1,1.5866172097463611,CNC(=O)Oc1ccccc1,0.6584875447006162,151.165,1.4048,38.33,2,1,1,11,1,0.125,c1ccccc1,0,True,1.5866172097463611,-1.225729665045745,heavy
N#CC1=CC=C(CN2CCN(CC3=CC=CC=C3)CC2)C=C1,0.8674818355857083,2.8760800000000017,1.6646892743465198,c1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,1.6646892743465198,N#Cc1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,0.8674818355857083,291.398,2.8760800000000017,30.270000000000003,3,0,4,22,2,0.3157894736842105,c1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,0,True,1.6646892743465198,-1.2352474387608123,heavy
CN(C)C(=O)C(=CC1=CC=CC=C1)NC(=O)C1=CC=CC=C1,0.8810216877104688,2.545700000000001,1.9133801810080973,O=C(NC=Cc1ccccc1)c1ccccc1,1.9133801810080973,CN(C)C(=O)C(=Cc1ccccc1)NC(=O)c1ccccc1,0.8810216877104688,294.354,2.545700000000001,49.41,2,1,4,22,2,0.1111111111111111,O=C(NC=Cc1ccccc1)c1ccccc1,0,True,1.9133801810080973,-1.305208493297629,heavy
CCCCNC(=O)NCCOC1=CC=C(F)C=C1F,0.7490060764862421,2.4429,1.8585293499105848,c1ccccc1,1.8585293499105848,CCCCNC(=O)NCCOc1ccc(F)cc1F,0.7490060764862421,272.295,2.4429,50.36,2,2,7,19,1,0.4615384615384615,c1ccccc1,0,True,1.8585293499105848,-1.3309732734243427,heavy
O=C(O)C1=CC(F)=CC(Cl)=C1C(=O)O,0.7947780317120626,1.8755,2.0639844318459843,c1ccccc1,2.0639844318459843,O=C(O)c1cc(F)cc(Cl)c1C(=O)O,0.7947780317120626,218.567,1.8755,74.6,2,2,2,14,1,0.0,c1ccccc1,0,True,2.0639844318459843,-1.3314564001339217,heavy
CCOC(=O)C1=CC=C(N)C(C(=O)NC2=CC=CC=C2)=C1,0.6677885946623708,2.697800000000001,1.653031886403486,O=C(Nc1ccccc1)c1ccccc1,1.653031886403486,CCOC(=O)c1ccc(N)c(C(=O)Nc2ccccc2)c1,0.6677885946623708,284.315,2.697800000000001,81.42,4,2,4,21,2,0.125,O=C(Nc1ccccc1)c1ccccc1,0,True,1.653031886403486,-1.3341432917411158,heavy
