smiles,Mol,QED,logP,SA,PAINS,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,gov_score
CCc1ccccc1,,0.5147578217927745,2.249000000000001,1.0,0.0,c1ccccc1,1.0,CCc1ccccc1,0.5147578217927745,106.16799999999996,2.249000000000001,0.0,0.0,0.0,1.0,8.0,1.0,0.25,c1ccccc1,0,True,1.0,-0.609742178207226
Cc1ccccc1C(=O)NCCNC(=O)c1ccccc1,,0.8256074578431853,2.15482,1.5039436204321692,0.0,O=C(NCCNC(=O)c1ccccc1)c1ccccc1,1.5039436204321692,Cc1ccccc1C(=O)NCCNC(=O)c1ccccc1,0.8256074578431853,282.343,2.15482,58.2,2.0,2.0,5.0,21.0,2.0,0.1764705882352941,O=C(NCCNC(=O)c1ccccc1)c1ccccc1,0,True,1.5039436204321692,-0.7557461625889839
CCOC(=O)N1CCN(C(=O)Nc2ccccc2)CC1,,0.8989322436379278,1.9926000000000004,1.676709317658645,0.0,O=C(Nc1ccccc1)N1CCNCC1,1.676709317658645,CCOC(=O)N1CCN(C(=O)Nc2ccccc2)CC1,0.8989322436379278,277.3240000000001,1.9926000000000004,61.88,3.0,1.0,2.0,20.0,1.0,0.4285714285714285,O=C(Nc1ccccc1)N1CCNCC1,0,True,1.676709317658645,-0.781477074020717
CCOC(=O)N1CCCN(C(=O)c2ccccc2)CC1,,0.8297400949217723,1.991,1.6530882650270635,0.0,O=C(c1ccccc1)N1CCCNCC1,1.6530882650270635,CCOC(=O)N1CCCN(C(=O)c2ccccc2)CC1,0.8297400949217723,276.33600000000007,1.991,49.85,3.0,0.0,2.0,20.0,1.0,0.4666666666666667,O=C(c1ccccc1)N1CCCNCC1,0,True,1.6530882650270635,-0.8278481701052912
Cc1ccccc1C(=O)N1CC(NC(=O)c2ccccc2)C1,,0.9436312385650082,2.2494200000000006,1.7005156648790667,0.0,O=C(NC1CN(C(=O)c2ccccc2)C1)c1ccccc1,1.7005156648790667,Cc1ccccc1C(=O)N1CC(NC(=O)c2ccccc2)C1,0.9436312385650082,294.35400000000004,2.2494200000000006,49.41,2.0,1.0,3.0,22.0,2.0,0.2222222222222222,O=C(NC1CN(C(=O)c2ccccc2)C1)c1ccccc1,0,True,1.7005156648790667,-0.8815944263140588
Cc1ccc(CNC(=O)CN2CCCCCC2=O)cc1,,0.912821003589348,2.01382,1.793874499844879,0.0,O=C(CN1CCCCCC1=O)NCc1ccccc1,1.793874499844879,Cc1ccc(CNC(=O)CN2CCCCCC2=O)cc1,0.912821003589348,274.3639999999999,2.01382,49.41,2.0,1.0,4.0,20.0,1.0,0.5,O=C(CN1CCCCCC1=O)NCc1ccccc1,0,True,1.793874499844879,-0.887963496255531
CC(=O)N1CCC(C(=O)OCc2ccccc2)CC1,,0.7816760752435894,1.9883,1.6987617640373394,0.0,O=C(OCc1ccccc1)C1CCNCC1,1.6987617640373394,CC(=O)N1CCC(C(=O)OCc2ccccc2)CC1,0.7816760752435894,261.321,1.9883,46.61,3.0,0.0,3.0,19.0,1.0,0.4666666666666667,O=C(OCc1ccccc1)C1CCNCC1,0,True,1.6987617640373394,-0.92293568879375
Cc1cccc(C(=O)NCCCNC(=O)C2CCC2)c1,,0.7798308791358501,2.03122,1.6950130481386907,0.0,O=C(NCCCNC(=O)C1CCC1)c1ccccc1,1.6950130481386907,Cc1cccc(C(=O)NCCCNC(=O)C2CCC2)c1,0.7798308791358501,274.364,2.03122,58.2,2.0,2.0,6.0,20.0,1.0,0.5,O=C(NCCCNC(=O)C1CCC1)c1ccccc1,0,True,1.6950130481386907,-0.9307921690028405
COc1ccc(CNC(=O)COc2ccc(C)cc2)cc1,,0.8874019783979813,2.6988200000000004,1.4735005435090915,0.0,O=C(COc1ccccc1)NCc1ccccc1,1.4735005435090915,COc1ccc(CNC(=O)COc2ccc(C)cc2)cc1,0.8874019783979813,285.343,2.6988200000000004,47.56,3.0,1.0,6.0,21.0,2.0,0.2352941176470588,O=C(COc1ccccc1)NCc1ccccc1,0,True,1.4735005435090915,-0.9355085651111105
CC(C)CCC(=O)N1CC(NC(=O)c2ccccc2)C1,,0.8932278925302276,2.0634,1.866712998188639,0.0,O=C(NC1CNC1)c1ccccc1,1.866712998188639,CC(C)CCC(=O)N1CC(NC(=O)c2ccccc2)C1,0.8932278925302276,274.3640000000001,2.0634,49.41,2.0,1.0,5.0,20.0,1.0,0.5,O=C(NC1CNC1)c1ccccc1,0,True,1.866712998188639,-1.0051851056584113
