smiles,Mol,QED,logP,SA,PAINS,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,gov_score
NC(=O)c1cccc(-c2ccccc2)c1,,0.7890687326247525,2.452500000000001,1.3453492189828076,0.0,c1ccc(-c2ccccc2)cc1,1.3453492189828076,NC(=O)c1cccc(-c2ccccc2)c1,0.7890687326247525,197.237,2.452500000000001,43.09,1.0,1.0,2.0,15.0,2.0,0.0,c1ccc(-c2ccccc2)cc1,0,True,1.3453492189828076,-0.7825304863580556
Cc1ccc(C(=O)NCC(=O)N2CCN(c3ccccc3)CC2)cc1,,0.9292355403670064,2.073619999999999,1.7004666207920265,0.0,O=C(NCC(=O)N1CCN(c2ccccc2)CC1)c1ccccc1,1.7004666207920265,Cc1ccc(C(=O)NCC(=O)N2CCN(c3ccccc3)CC2)cc1,0.9292355403670064,337.4230000000001,2.073619999999999,52.650000000000006,3.0,1.0,4.0,25.0,2.0,0.3,O=C(NCC(=O)N1CCN(c2ccccc2)CC1)c1ccccc1,0,True,1.7004666207920265,-0.8080410804250197
NC(=O)Nc1ccc(NC(=O)c2ccccc2)cc1,,0.7865005457870622,2.429500000000001,1.4138284307040043,0.0,O=C(Nc1ccccc1)c1ccccc1,1.4138284307040043,NC(=O)Nc1ccc(NC(=O)c2ccccc2)cc1,0.7865005457870622,255.277,2.429500000000001,84.22,2.0,3.0,3.0,19.0,2.0,0.0,O=C(Nc1ccccc1)c1ccccc1,0,True,1.4138284307040043,-0.8420778849169426
CCOc1cccc(CNC(=O)C(=O)NCc2ccccc2)c1,,0.8019782715767416,2.0179,1.6976698429039023,0.0,O=C(NCc1ccccc1)C(=O)NCc1ccccc1,1.6976698429039023,CCOc1cccc(CNC(=O)C(=O)NCc2ccccc2)c1,0.8019782715767416,312.369,2.0179,67.42999999999999,3.0,2.0,6.0,23.0,2.0,0.2222222222222222,O=C(NCc1ccccc1)C(=O)NCc1ccccc1,0,True,1.6976698429039023,-0.9046415713271607
COc1ccc(C(=O)NCCNC(=O)Cc2ccc(F)cc2)cc1,,0.7623923126295713,1.923,1.653531672768299,0.0,O=C(Cc1ccccc1)NCCNC(=O)c1ccccc1,1.653531672768299,COc1ccc(C(=O)NCCNC(=O)Cc2ccc(F)cc2)cc1,0.7623923126295713,330.359,1.923,67.43,3.0,2.0,7.0,24.0,2.0,0.2222222222222222,O=C(Cc1ccccc1)NCCNC(=O)c1ccccc1,0,True,1.653531672768299,-0.9296393601387276
COc1ccccc1OCC(=O)Nc1ccc(F)cc1,,0.9123720508143204,2.851800000000001,1.4348947427598588,0.0,O=C(COc1ccccc1)Nc1ccccc1,1.4348947427598588,COc1ccccc1OCC(=O)Nc1ccc(F)cc1,0.9123720508143204,275.27899999999994,2.851800000000001,47.56,3.0,1.0,5.0,20.0,2.0,0.1333333333333333,O=C(COc1ccccc1)Nc1ccccc1,0,True,1.4348947427598588,-0.9484226919455389
CCCCC(=O)NCCNC(=O)c1ccc(F)cc1,,0.7400704190631066,1.8619,1.625015271536128,0.0,c1ccccc1,1.625015271536128,CCCCC(=O)NCCNC(=O)c1ccc(F)cc1,0.7400704190631066,266.316,1.8619,58.2,2.0,2.0,7.0,19.0,1.0,0.4285714285714285,c1ccccc1,0,True,1.625015271536128,-0.9539948524730213
CC(=O)NCc1ccc(F)cc1,,0.7094532493994383,1.4618,1.4063527502190265,0.0,c1ccccc1,1.4063527502190265,CC(=O)NCc1ccc(F)cc1,0.7094532493994383,167.183,1.4618,29.1,1.0,1.0,2.0,12.0,1.0,0.2222222222222222,c1ccccc1,0,True,1.4063527502190265,-0.9659995008195882
Cc1cc(OCC(=O)NCc2ccccc2)ccc1N,,0.819153989003599,2.27242,1.651764378387389,0.0,O=C(COc1ccccc1)NCc1ccccc1,1.651764378387389,Cc1cc(OCC(=O)NCc2ccccc2)ccc1N,0.819153989003599,270.33200000000005,2.27242,64.35,3.0,2.0,5.0,20.0,2.0,0.1875,O=C(COc1ccccc1)NCc1ccccc1,0,True,1.651764378387389,-0.9688203893837899
NC(=O)CCCc1ccc(F)cc1,,0.7533516010178248,1.6337,1.5456012884703654,0.0,c1ccccc1,1.5456012884703654,NC(=O)CCCc1ccc(F)cc1,0.7533516010178248,181.21,1.6337,43.09,1.0,1.0,4.0,13.0,1.0,0.3,c1ccccc1,0,True,1.5456012884703654,-0.9753996874525406
Cc1ccc(NC(=O)CNC(=O)c2cccs2)cc1,,0.8992605013599579,2.425020000000001,1.6636591999347736,0.0,O=C(CNC(=O)c1cccs1)Nc1ccccc1,1.6636591999347736,Cc1ccc(NC(=O)CNC(=O)c2cccs2)cc1,0.8992605013599579,274.345,2.425020000000001,58.2,3.0,2.0,4.0,19.0,2.0,0.1428571428571428,O=C(CNC(=O)c1cccs1)Nc1ccccc1,0,True,1.6636591999347736,-0.9769086985748161
CCC(=O)N1CCC(NC(=O)Cc2ccccc2)CC1,,0.909022815873599,1.7462999999999995,1.7728089128003433,0.0,O=C(Cc1ccccc1)NC1CCNCC1,1.7728089128003433,CCC(=O)N1CCC(NC(=O)Cc2ccccc2)CC1,0.909022815873599,274.3640000000001,1.7462999999999995,49.41,2.0,1.0,4.0,20.0,1.0,0.5,O=C(Cc1ccccc1)NC1CCNCC1,0,True,1.7728089128003433,-0.9906360969267445
CN(C)c1cccc(C(=O)NCCNC(=O)c2ccc(F)cc2)c1,,0.7975835537462844,2.0515,1.782335215011834,0.0,O=C(NCCNC(=O)c1ccccc1)c1ccccc1,1.782335215011834,CN(C)c1cccc(C(=O)NCCNC(=O)c2ccc(F)cc2)c1,0.7975835537462844,329.375,2.0515,61.440000000000005,3.0,2.0,6.0,24.0,2.0,0.2222222222222222,O=C(NCCNC(=O)c1ccccc1)c1ccccc1,0,True,1.782335215011834,-1.0105016612655495
Cc1nc(-c2ccccc2)no1,,0.6403803022733366,2.04502,1.6717811218473972,0.0,c1ccc(-c2ncon2)cc1,1.6717811218473972,Cc1nc(-c2ccccc2)no1,0.6403803022733366,160.17599999999996,2.04502,38.92,3.0,0.0,1.0,12.0,2.0,0.1111111111111111,c1ccc(-c2ncon2)cc1,0,True,1.6717811218473972,-1.0539108195740607
CCc1noc(CNC(=O)c2ccc(C)cc2)n1,,0.8924342986441303,1.87042,1.905627190697798,0.0,O=C(NCc1ncno1)c1ccccc1,1.905627190697798,CCc1noc(CNC(=O)c2ccc(C)cc2)n1,0.8924342986441303,245.282,1.87042,68.02000000000001,4.0,1.0,4.0,18.0,2.0,0.3076923076923077,O=C(NCc1ncno1)c1ccccc1,0,True,1.905627190697798,-1.0779828920536678
COc1ccccc1CCC(=O)NCc1ccccc1,,0.8752772943633099,2.9442000000000013,1.4832455036142491,0.0,O=C(CCc1ccccc1)NCc1ccccc1,1.4832455036142491,COc1ccccc1CCC(=O)NCc1ccccc1,0.8752772943633099,269.344,2.9442000000000013,38.33,2.0,1.0,6.0,20.0,2.0,0.2352941176470588,O=C(CCc1ccccc1)NCc1ccccc1,0,True,1.4832455036142491,-1.08006820925094
CCCC(=O)N(C)CCNC(=O)c1ccc(Cl)cc1,,0.8704891132692023,2.3283000000000005,1.8026131447079496,0.0,c1ccccc1,1.8026131447079496,CCCC(=O)N(C)CCNC(=O)c1ccc(Cl)cc1,0.8704891132692023,282.771,2.3283000000000005,49.41,2.0,1.0,6.0,19.0,1.0,0.4285714285714285,c1ccccc1,0,True,1.8026131447079496,-1.0962740314387476
COc1ccc(C(=O)N2CCN(C(=O)NCc3ccc(F)cc3)CC2)cc1,,0.8983411805821551,2.501900000000001,1.7851683194803805,0.0,O=C(NCc1ccccc1)N1CCN(C(=O)c2ccccc2)CC1,1.7851683194803805,COc1ccc(C(=O)N2CCN(C(=O)NCc3ccc(F)cc3)CC2)cc1,0.8983411805821551,371.4120000000001,2.501900000000001,61.88,3.0,1.0,4.0,27.0,2.0,0.3,O=C(NCc1ccccc1)N1CCN(C(=O)c2ccccc2)CC1,0,True,1.7851683194803805,-1.1377771388982258
Cc1ccc(C(=O)NCC2CN(C(=O)c3cccc(F)c3)C2)cn1,,0.9345309290968,2.03112,2.064846351636401,0.0,O=C(NCC1CN(C(=O)c2ccccc2)C1)c1cccnc1,2.064846351636401,Cc1ccc(C(=O)NCC2CN(C(=O)c3cccc(F)c3)C2)cn1,0.9345309290968,327.3590000000001,2.03112,62.3,3.0,1.0,4.0,24.0,2.0,0.2777777777777778,O=C(NCC1CN(C(=O)c2ccccc2)C1)c1cccnc1,0,True,2.064846351636401,-1.145875422539601
CCOC(=O)c1cccc(NC(=O)Cc2ccccc2)c1,,0.8580305957779072,3.044500000000001,1.4860266973552465,0.0,O=C(Cc1ccccc1)Nc1ccccc1,1.4860266973552465,CCOC(=O)c1cccc(NC(=O)Cc2ccccc2)c1,0.8580305957779072,283.327,3.044500000000001,55.4,3.0,1.0,5.0,21.0,2.0,0.1764705882352941,O=C(Cc1ccccc1)Nc1ccccc1,0,True,1.4860266973552465,-1.15024610157734
Cc1cccc(C(=O)NCCCNC(=O)c2ccc(F)cc2)c1,,0.8054932233669149,2.684020000000001,1.6229011930921755,0.0,O=C(NCCCNC(=O)c1ccccc1)c1ccccc1,1.6229011930921755,Cc1cccc(C(=O)NCCCNC(=O)c2ccc(F)cc2)c1,0.8054932233669149,314.36,2.684020000000001,58.2,2.0,2.0,6.0,23.0,2.0,0.2222222222222222,O=C(NCCCNC(=O)c1ccccc1)c1ccccc1,0,True,1.6229011930921755,-1.1594179697252613
