smiles,Mol,QED,logP,SA,PAINS,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,lipinski_violations_calc,baseline,rank_rulekit
Cc1cc(C(=O)NC2CCN(c3ccccn3)CC2)cs1,,0.9479230456305644,2.8503200000000017,2.2042476557411224,0.0,O=C(NC1CCN(c2ccccn2)CC1)c1ccsc1,2.2042476557411224,Cc1cc(C(=O)NC2CCN(c3ccccn3)CC2)cs1,0.9479230456305644,301.415,2.8503200000000017,45.23,4.0,1.0,3.0,21.0,2.0,0.375,O=C(NC1CCN(c2ccccn2)CC1)c1ccsc1,0,True,2.2042476557411224,0,rulekit,1
O=C(NC1CCN(C(=O)c2cccs2)C1)c1ccccc1,,0.9459783314552904,2.3926,2.2710503483502684,0.0,O=C(NC1CCN(C(=O)c2cccs2)C1)c1ccccc1,2.2710503483502684,O=C(NC1CCN(C(=O)c2cccs2)C1)c1ccccc1,0.9459783314552904,300.38300000000004,2.3926,49.41,3.0,1.0,3.0,21.0,2.0,0.25,O=C(NC1CCN(C(=O)c2cccs2)C1)c1ccccc1,0,True,2.2710503483502684,0,rulekit,2
Cc1ccc(N2C[C@H](NC(=O)c3ccccc3)CC2=O)cc1,,0.945408893353548,2.530320000000001,2.1789253292050166,0.0,O=C(N[C@@H]1CC(=O)N(c2ccccc2)C1)c1ccccc1,2.1789253292050166,Cc1ccc(N2C[C@H](NC(=O)c3ccccc3)CC2=O)cc1,0.945408893353548,294.35400000000004,2.530320000000001,49.41,2.0,1.0,3.0,22.0,2.0,0.2222222222222222,O=C(N[C@@H]1CC(=O)N(c2ccccc2)C1)c1ccccc1,0,True,2.1789253292050166,0,rulekit,3
CCn1cc(CNC(=O)c2cccc(Br)c2)cn1,,0.9435197124601452,2.5955000000000004,1.950431715584676,0.0,O=C(NCc1cn[nH]c1)c1ccccc1,1.950431715584676,CCn1cc(CNC(=O)c2cccc(Br)c2)cn1,0.9435197124601452,308.17900000000003,2.5955000000000004,46.92,3.0,1.0,4.0,18.0,2.0,0.2307692307692307,O=C(NCc1cn[nH]c1)c1ccccc1,0,True,1.950431715584676,0,rulekit,4
Cc1ccccc1C(=O)N1CC(C)(NC(=O)c2cccc(F)c2)C1,,0.9427682880346004,2.778620000000001,2.164595741052956,0.0,O=C(NC1CN(C(=O)c2ccccc2)C1)c1ccccc1,2.164595741052956,Cc1ccccc1C(=O)N1CC(C)(NC(=O)c2cccc(F)c2)C1,0.9427682880346004,326.37100000000004,2.778620000000001,49.41,2.0,1.0,3.0,24.0,2.0,0.2631578947368421,O=C(NC1CN(C(=O)c2ccccc2)C1)c1ccccc1,0,True,2.164595741052956,0,rulekit,5
Cc1ccsc1C(=O)NC1(c2ccccc2)CCOCC1,,0.9421345171543776,3.4922200000000023,2.4046400895368354,0.0,O=C(NC1(c2ccccc2)CCOCC1)c1cccs1,2.4046400895368354,Cc1ccsc1C(=O)NC1(c2ccccc2)CCOCC1,0.9421345171543776,301.4110000000001,3.4922200000000023,38.33,3.0,1.0,3.0,21.0,2.0,0.3529411764705882,O=C(NC1(c2ccccc2)CCOCC1)c1cccs1,0,True,2.4046400895368354,0,rulekit,6
CC(C)c1cc(NC(=O)[C@H]2COc3ccccc3C2)no1,,0.9417197566576616,2.987800000000002,2.846171306736144,0.0,O=C(Nc1ccon1)[C@H]1COc2ccccc2C1,2.846171306736144,CC(C)c1cc(NC(=O)[C@H]2COc3ccccc3C2)no1,0.9417197566576616,286.331,2.987800000000002,64.36,4.0,1.0,3.0,21.0,2.0,0.375,O=C(Nc1ccon1)[C@H]1COc2ccccc2C1,0,True,2.846171306736144,0,rulekit,7
Cc1ccccc1-c1nc(C(=O)NCC2CCOCC2)cs1,,0.9415834400432376,3.2749200000000016,2.17224979949445,0.0,O=C(NCC1CCOCC1)c1csc(-c2ccccc2)n1,2.17224979949445,Cc1ccccc1-c1nc(C(=O)NCC2CCOCC2)cs1,0.9415834400432376,316.42600000000004,3.2749200000000016,51.22,4.0,1.0,4.0,22.0,2.0,0.4117647058823529,O=C(NCC1CCOCC1)c1csc(-c2ccccc2)n1,0,True,2.17224979949445,0,rulekit,8
Cc1ccc(C(=O)N[C@H]2CCN(c3ccccc3)C2)cn1,,0.9393483798053032,2.398720000000001,2.301577712789106,0.0,O=C(N[C@H]1CCN(c2ccccc2)C1)c1cccnc1,2.301577712789106,Cc1ccc(C(=O)N[C@H]2CCN(c3ccccc3)C2)cn1,0.9393483798053032,281.359,2.398720000000001,45.23,3.0,1.0,3.0,21.0,2.0,0.2941176470588235,O=C(N[C@H]1CCN(c2ccccc2)C1)c1cccnc1,0,True,2.301577712789106,0,rulekit,9
Cc1ccccc1C(=O)N[C@H]1CCN(c2ccccn2)C1,,0.9393483798053032,2.398720000000001,2.2945093647437087,0.0,O=C(N[C@H]1CCN(c2ccccn2)C1)c1ccccc1,2.2945093647437087,Cc1ccccc1C(=O)N[C@H]1CCN(c2ccccn2)C1,0.9393483798053032,281.35900000000004,2.398720000000001,45.23,3.0,1.0,3.0,21.0,2.0,0.2941176470588235,O=C(N[C@H]1CCN(c2ccccn2)C1)c1ccccc1,0,True,2.2945093647437087,0,rulekit,10
