smiles,Mol,QED,logP,SA,PAINS,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,lipinski_violations_calc,baseline,rank_rulekit
CC[C@H]1CCCN(C(=O)Nc2ccccc2-n2cncn2)C1,,0.947492109567061,2.9212000000000016,2.645191572336884,0.0,O=C(Nc1ccccc1-n1cncn1)N1CCCCC1,2.645191572336884,CC[C@H]1CCCN(C(=O)Nc2ccccc2-n2cncn2)C1,0.947492109567061,299.3780000000001,2.9212000000000016,63.05,4.0,1.0,3.0,22.0,2.0,0.4375,O=C(Nc1ccccc1-n1cncn1)N1CCCCC1,0,True,2.645191572336884,0,rulekit,1
Cc1ccccc1-c1nsc(NC(=O)C2CCOCC2)n1,,0.9466786472143096,2.8786200000000006,2.2978748940765588,0.0,O=C(Nc1nc(-c2ccccc2)ns1)C1CCOCC1,2.2978748940765588,Cc1ccccc1-c1nsc(NC(=O)C2CCOCC2)n1,0.9466786472143096,303.38700000000006,2.8786200000000006,64.11,5.0,1.0,3.0,21.0,2.0,0.4,O=C(Nc1nc(-c2ccccc2)ns1)C1CCOCC1,0,True,2.2978748940765588,0,rulekit,2
Cc1ccc(C(=O)N2CC[C@H](NC(=O)c3ccccc3)C2)o1,,0.9448937284477918,2.23252,2.350773680853369,0.0,O=C(N[C@H]1CCN(C(=O)c2ccco2)C1)c1ccccc1,2.350773680853369,Cc1ccc(C(=O)N2CC[C@H](NC(=O)c3ccccc3)C2)o1,0.9448937284477918,298.3420000000001,2.23252,62.55,3.0,1.0,3.0,22.0,2.0,0.2941176470588235,O=C(N[C@H]1CCN(C(=O)c2ccco2)C1)c1ccccc1,0,True,2.350773680853369,0,rulekit,3
CCn1ccc(C(=O)NC2(C)CCN(c3ccccc3)CC2)n1,,0.9441318899429568,2.6919000000000013,2.391836276470338,0.0,O=C(NC1CCN(c2ccccc2)CC1)c1cc[nH]n1,2.391836276470338,CCn1ccc(C(=O)NC2(C)CCN(c3ccccc3)CC2)n1,0.9441318899429568,312.4170000000001,2.6919000000000013,50.16,4.0,1.0,4.0,23.0,2.0,0.4444444444444444,O=C(NC1CCN(c2ccccc2)CC1)c1cc[nH]n1,0,True,2.391836276470338,0,rulekit,4
Cc1cccc(-c2cc(NC(=O)C3CCOCC3)ns2)c1,,0.9440292304884748,3.483620000000002,2.557118021440997,0.0,O=C(Nc1cc(-c2ccccc2)sn1)C1CCOCC1,2.557118021440997,Cc1cccc(-c2cc(NC(=O)C3CCOCC3)ns2)c1,0.9440292304884748,302.39899999999994,3.483620000000002,51.22,4.0,1.0,3.0,21.0,2.0,0.375,O=C(Nc1cc(-c2ccccc2)sn1)C1CCOCC1,0,True,2.557118021440997,0,rulekit,5
Cc1ccc(CNC(=O)c2ccn(C3CCOCC3)n2)cc1,,0.94331207660382,2.473020000000001,2.199139462955987,0.0,O=C(NCc1ccccc1)c1ccn(C2CCOCC2)n1,2.199139462955987,Cc1ccc(CNC(=O)c2ccn(C3CCOCC3)n2)cc1,0.94331207660382,299.374,2.473020000000001,56.150000000000006,4.0,1.0,4.0,22.0,2.0,0.4117647058823529,O=C(NCc1ccccc1)c1ccn(C2CCOCC2)n1,0,True,2.199139462955987,0,rulekit,6
CCCCC(=O)N1CCN(C(=O)c2c[nH]c3ccccc23)CC1,,0.943168310236466,2.642500000000001,1.9520278848619448,0.0,O=C(c1c[nH]c2ccccc12)N1CCNCC1,1.9520278848619448,CCCCC(=O)N1CCN(C(=O)c2c[nH]c3ccccc23)CC1,0.943168310236466,313.4010000000001,2.642500000000001,56.41,2.0,1.0,4.0,23.0,2.0,0.4444444444444444,O=C(c1c[nH]c2ccccc12)N1CCNCC1,0,True,1.9520278848619448,0,rulekit,7
Cc1ccccc1C(=O)N1CC[C@H](CNC(=O)c2ccco2)C1,,0.9431606117174516,2.4801200000000003,2.424558927809276,0.0,O=C(NC[C@H]1CCN(C(=O)c2ccccc2)C1)c1ccco1,2.424558927809276,Cc1ccccc1C(=O)N1CC[C@H](CNC(=O)c2ccco2)C1,0.9431606117174516,312.369,2.4801200000000003,62.55,3.0,1.0,4.0,23.0,2.0,0.3333333333333333,O=C(NC[C@H]1CCN(C(=O)c2ccccc2)C1)c1ccco1,0,True,2.424558927809276,0,rulekit,8
COc1cccc2c(C(=O)NC3CCSCC3)cccc12,,0.9430761054454896,3.4738000000000024,2.103107176548185,0.0,O=C(NC1CCSCC1)c1cccc2ccccc12,2.103107176548185,COc1cccc2c(C(=O)NC3CCSCC3)cccc12,0.9430761054454896,301.411,3.4738000000000024,38.33,3.0,1.0,3.0,21.0,2.0,0.3529411764705882,O=C(NC1CCSCC1)c1cccc2ccccc12,0,True,2.103107176548185,0,rulekit,9
Cn1nccc1C(=O)Nc1cccc(N2CCCCC2)c1,,0.9424072673233822,2.662700000000001,2.008624200507832,0.0,O=C(Nc1cccc(N2CCCCC2)c1)c1ccn[nH]1,2.008624200507832,Cn1nccc1C(=O)Nc1cccc(N2CCCCC2)c1,0.9424072673233822,284.363,2.662700000000001,50.16,4.0,1.0,3.0,21.0,2.0,0.375,O=C(Nc1cccc(N2CCCCC2)c1)c1ccn[nH]1,0,True,2.008624200507832,0,rulekit,10
