Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,lipinski_violations_calc,method,rank_rulekit
CC(C1=CC=CO1)N1CCN(C2=CC=C(C(N)=O)C=C2)CC1,0.9403867761715604,2.2617000000000003,2.5371714830511696,c1ccc(N2CCN(Cc3ccco3)CC2)cc1,2.5371714830511696,CC(c1ccco1)N1CCN(c2ccc(C(N)=O)cc2)CC1,0.9403867761715604,299.3740000000001,2.2617000000000003,62.71,4,1,4,22,2,0.3529411764705882,c1ccc(N2CCN(Cc3ccco3)CC2)cc1,0,True,2.5371714830511696,0,rulekit,1
CCC(=O)NC1=CC=C(S(=O)(=O)C2=NC=CS2)C=C1,0.9390990479557864,2.3244000000000007,2.213184212029597,O=S(=O)(c1ccccc1)c1nccs1,2.213184212029597,CCC(=O)Nc1ccc(S(=O)(=O)c2nccs2)cc1,0.9390990479557864,296.373,2.3244000000000007,76.13,5,1,4,19,2,0.1666666666666666,O=S(=O)(c1ccccc1)c1nccs1,0,True,2.213184212029597,0,rulekit,2
NS(=O)(=O)C1=CC=C2C(=C1)CCCN2CC1CCCC1,0.9299045860677264,2.2768000000000006,2.1965862407355665,c1ccc2c(c1)CCCN2CC1CCCC1,2.1965862407355665,NS(=O)(=O)c1ccc2c(c1)CCCN2CC1CCCC1,0.9299045860677264,294.42,2.2768000000000006,63.400000000000006,3,1,3,20,1,0.6,c1ccc2c(c1)CCCN2CC1CCCC1,0,True,2.1965862407355665,0,rulekit,3
CS(=O)(=O)CC(O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1,0.922017500432066,2.6960000000000006,2.3855466913515286,c1ccc(Oc2ccccc2)cc1,2.3855466913515286,CS(=O)(=O)CC(O)c1ccc(Oc2ccc(F)cc2)cc1,0.922017500432066,310.346,2.6960000000000006,63.60000000000001,4,1,5,21,2,0.2,c1ccc(Oc2ccccc2)cc1,0,True,2.3855466913515286,0,rulekit,4
NC(=O)C1CC(N2CCCCC2)CN1CC1=CC=CC=C1,0.914906278899857,1.6006999999999998,2.8168150424778045,c1ccc(CN2CCC(N3CCCCC3)C2)cc1,2.8168150424778045,NC(=O)C1CC(N2CCCCC2)CN1Cc1ccccc1,0.914906278899857,287.407,1.6006999999999998,49.57000000000001,3,1,4,21,1,0.5882352941176471,c1ccc(CN2CCC(N3CCCCC3)C2)cc1,0,True,2.8168150424778045,0,rulekit,5
CC1=C(Cl)C(=NC2CC2)NN=C1OCC1=NC(C2CC2)=CC=C1,0.9146041488077936,3.286020000000001,3.278087465281525,c1cc(COc2ccc(=NC3CC3)[nH]n2)nc(C2CC2)c1,3.278087465281525,Cc1c(OCc2cccc(C3CC3)n2)n[nH]c(=NC2CC2)c1Cl,0.9146041488077936,330.8190000000001,3.286020000000001,63.16,4,1,5,23,2,0.4705882352941176,c1cc(COc2ccc(=NC3CC3)[nH]n2)nc(C2CC2)c1,0,True,3.278087465281525,0,rulekit,6
O=C(NCC1=CC=CC=C1)C1CCN(CC2=CC=C(F)C=C2)CC1,0.9137001040977888,3.3541000000000025,1.6236928039900178,O=C(NCc1ccccc1)C1CCN(Cc2ccccc2)CC1,1.6236928039900178,O=C(NCc1ccccc1)C1CCN(Cc2ccc(F)cc2)CC1,0.9137001040977888,326.4150000000001,3.3541000000000025,32.34,2,1,5,24,2,0.35,O=C(NCc1ccccc1)C1CCN(Cc2ccccc2)CC1,0,True,1.6236928039900178,0,rulekit,7
OC1=CC=C(F)C=C1OC1=CC=C2OCCCOC2=C1,0.9117979877885534,3.4849000000000023,2.07434974764608,c1ccc(Oc2ccc3c(c2)OCCCO3)cc1,2.07434974764608,Oc1ccc(F)cc1Oc1ccc2c(c1)OCCCO2,0.9117979877885534,276.263,3.4849000000000023,47.92,4,1,2,20,2,0.2,c1ccc(Oc2ccc3c(c2)OCCCO3)cc1,0,True,2.07434974764608,0,rulekit,8
N#CC1=CC=C(NC(=O)COC2=CC=CC=C2)C=C1,0.9092012616552652,2.575780000000001,1.52827663583221,O=C(COc1ccccc1)Nc1ccccc1,1.52827663583221,N#Cc1ccc(NC(=O)COc2ccccc2)cc1,0.9092012616552652,252.273,2.575780000000001,62.120000000000005,3,1,4,19,2,0.0666666666666666,O=C(COc1ccccc1)Nc1ccccc1,0,True,1.52827663583221,0,rulekit,9
O=C(COC1=CC=CC=C1)NS(=O)(=O)C1=CC=CC=C1,0.9072949237416288,1.5705000000000002,1.6242931233266624,O=C(COc1ccccc1)NS(=O)(=O)c1ccccc1,1.6242931233266624,O=C(COc1ccccc1)NS(=O)(=O)c1ccccc1,0.9072949237416288,291.328,1.5705000000000002,72.47,4,1,5,20,2,0.0714285714285714,O=C(COc1ccccc1)NS(=O)(=O)c1ccccc1,0,True,1.6242931233266624,0,rulekit,10
