Mol,QED,logP,SA,scaffold,sa_ertl,smiles_can,qed,mw,logp,tpsa,hba,hbd,rtb,heavy_atoms,rings_aromatic,frac_csp3,murcko_scaffold,pains_n,pains_ok,sa,lipinski_violations_calc,method,rank_rulekit
CC(=O)N1C=C(COC(=O)NC2=CC=C(Cl)C=C2)N=N1,0.9386820725182182,2.3403,2.395101784402426,O=C(Nc1ccccc1)OCc1c[nH]nn1,2.395101784402426,CC(=O)n1cc(COC(=O)Nc2ccc(Cl)cc2)nn1,0.9386820725182182,294.69800000000004,2.3403,86.11,6,1,3,20,2,0.1666666666666666,O=C(Nc1ccccc1)OCc1c[nH]nn1,0,True,2.395101784402426,0,rulekit,1
CC1=C(C)N(CC2=CC=C(Cl)C=C2)N=C1C1CCNCC1,0.9374040148668,3.6686400000000017,2.3933605435090914,c1ccc(Cn2ccc(C3CCNCC3)n2)cc1,2.3933605435090914,Cc1c(C2CCNCC2)nn(Cc2ccc(Cl)cc2)c1C,0.9374040148668,303.8370000000001,3.6686400000000017,29.85,3,1,3,21,2,0.4705882352941176,c1ccc(Cn2ccc(C3CCNCC3)n2)cc1,0,True,2.3933605435090914,0,rulekit,2
COC1=CC=C(CN2CCN(C3=CC=NC(N)=C3)CC2)C=C1,0.9353552923555816,1.9946,1.9183567706482965,c1ccc(CN2CCN(c3ccncc3)CC2)cc1,1.9183567706482965,COc1ccc(CN2CCN(c3ccnc(N)c3)CC2)cc1,0.9353552923555816,298.3900000000001,1.9946,54.620000000000005,5,1,4,22,2,0.3529411764705882,c1ccc(CN2CCN(c3ccncc3)CC2)cc1,0,True,1.9183567706482965,0,rulekit,3
COC1=CC(OC2=CC=CN=C2)=CC=C1N1CCNCC1,0.93364585248174,2.2921,2.07597215641232,c1cncc(Oc2ccc(N3CCNCC3)cc2)c1,2.07597215641232,COc1cc(Oc2cccnc2)ccc1N1CCNCC1,0.93364585248174,285.34700000000004,2.2921,46.620000000000005,5,1,4,21,2,0.3125,c1cncc(Oc2ccc(N3CCNCC3)cc2)c1,0,True,2.07597215641232,0,rulekit,4
O=C(NC1=CC=C(CN2CCOCC2)C=C1)C1=CC=C(Cl)C=C1,0.9335368370938424,3.4245000000000028,1.6177501059244648,O=C(Nc1ccc(CN2CCOCC2)cc1)c1ccccc1,1.6177501059244648,O=C(Nc1ccc(CN2CCOCC2)cc1)c1ccc(Cl)cc1,0.9335368370938424,330.81499999999994,3.4245000000000028,41.57000000000001,3,1,4,23,2,0.2777777777777778,O=C(Nc1ccc(CN2CCOCC2)cc1)c1ccccc1,0,True,1.6177501059244648,0,rulekit,5
COC1=CC=CC=C1OCC1NC(=O)C2=CC=CC=C21,0.9275695496903814,2.558700000000001,2.4833947283797624,O=C1NC(COc2ccccc2)c2ccccc21,2.4833947283797624,COc1ccccc1OCC1NC(=O)c2ccccc21,0.9275695496903814,269.3,2.558700000000001,47.56,3,1,4,20,2,0.1875,O=C1NC(COc2ccccc2)c2ccccc21,0,True,2.4833947283797624,0,rulekit,6
O=C(O)C1=CC=CC=C1OCC=CC1=CC=C2OCCOC2=C1,0.9178367744629842,3.2482000000000024,2.134600163329747,C(=Cc1ccc2c(c1)OCCO2)COc1ccccc1,2.134600163329747,O=C(O)c1ccccc1OCC=Cc1ccc2c(c1)OCCO2,0.9178367744629842,312.3210000000001,3.2482000000000024,64.99000000000001,4,1,5,23,2,0.1666666666666666,C(=Cc1ccc2c(c1)OCCO2)COc1ccccc1,0,True,2.134600163329747,0,rulekit,7
C=C(C1=CC=C(OC)C=C1)C1=C(O)C=C2CCC(=O)C2=C1O,0.9117064758775764,3.2968000000000024,2.5544635841728844,C=C(c1ccccc1)c1ccc2c(c1)C(=O)CC2,2.5544635841728844,C=C(c1ccc(OC)cc1)c1c(O)cc2c(c1O)C(=O)CC2,0.9117064758775764,296.322,3.2968000000000024,66.76,4,2,3,22,2,0.1666666666666666,C=C(c1ccccc1)c1ccc2c(c1)C(=O)CC2,0,True,2.5544635841728844,0,rulekit,8
O=C(NC1=NN=C(C2=CC=C3OCOC3=C2)S1)C1=COCCS1,0.9112548388935504,2.4771,2.9781590037430643,O=C(Nc1nnc(-c2ccc3c(c2)OCO3)s1)C1=COCCS1,2.9781590037430643,O=C(Nc1nnc(-c2ccc3c(c2)OCO3)s1)C1=COCCS1,0.9112548388935504,349.39300000000014,2.4771,82.57000000000001,8,1,3,23,2,0.2142857142857142,O=C(Nc1nnc(-c2ccc3c(c2)OCO3)s1)C1=COCCS1,0,True,2.9781590037430643,0,rulekit,9
CN1N=CC(NCC2=NC=CO2)=C1Br,0.9100853032986842,1.7827,3.164078277999831,c1coc(CNc2cn[nH]c2)n1,3.164078277999831,Cn1ncc(NCc2ncco2)c1Br,0.9100853032986842,257.091,1.7827,55.88,5,1,3,14,2,0.25,c1coc(CNc2cn[nH]c2)n1,0,True,3.164078277999831,0,rulekit,10
